Portfolio
Account,Financial Instrument Description,Exchange,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
All,AEM,NYSE,15,USD,119.6823883,1796.46,40.5678866,1187.94,0.00,No,STK,1795.24
All,AMD,NASDAQ,1000,USD,146.9000091,146881.51,58.3582555,88523.25,0.00,No,STK,14690.00
All,AMD    JUL2025 130 C [AMD   250711C00130000 100],AMEX,0,USD,16.9153633,0.00,0.00,null,-1357.86,No,OPT,0.00
All,AMD    JUL2025 135 C [AMD   250711C00135000 100],AMEX,0,USD,8.8567571,0.00,0.00,null,0.00,No,OPT,0.00
All,AMD    JUL2025 125 C [AMD   250718C00125000 100],AMEX,-1,USD,22.1212997,-2212.13,5.601993,-1651.93,0.00,No,OPT,-14370.12
All,AMD    JUL2025 130 C [AMD   250725C00130000 100],AMEX,-1,USD,17.5304603,-1753.05,9.199436,-833.10,0.00,No,OPT,-13655.94
All,AMD    AUG2025 90 C [AMD   250815C00090000 100],AMEX,-1,USD,57.3802109,-5738.02,39.652893,-1772.73,0.00,No,OPT,-14563.14
All,AMD    AUG2025 125 C [AMD   250815C00125000 100],AMEX,-1,USD,23.9704724,-2397.05,8.851993,-1511.85,0.00,No,OPT,-12825.37
All,AMD    AUG2025 155 C [AMD   250815C00155000 100],AMEX,-1,USD,5.8000002,-580.06,4.929436,-87.12,0.00,No,OPT,-5874.07
All,AMD    AUG2025 144 C [AMD   250822C00144000 100],AMEX,-1,USD,11.1417551,-1116.16,9.712936,-144.87,0.00,No,OPT,-8706.05
All,AMD    AUG2025 145 C [AMD   250822C00145000 100],AMEX,-1,USD,10.6888333,-1068.88,10.7494106,6.06,0.00,No,OPT,-8464.63
All,AMD    SEP2025 130 C [AMD   250919C00130000 100],AMEX,-1,USD,22.2133141,-2221.33,9.011993,-1320.13,0.00,No,OPT,-11381.51
All,AMD    JAN2026 100 C [AMD   260116C00100000 100],AMEX,-1,USD,51.7094383,-5170.94,26.509368,-2520.01,0.00,No,OPT,-13460.67
All,AMZN,NASDAQ,2500,USD,225.8600006,564555.58,124.243669,253946.41,0.00,No,STK,383962.00
All,AMZN   JUL2025 185 C [AMZN  250718C00185000 100],AMEX,0,USD,37.0981446,0.00,0.00,null,0.00,No,OPT,0.00
All,AMZN   JUL2025 215 C [AMZN  250725C00215000 100],AMEX,-1,USD,12.1150636,-1223.24,8.689368,-354.30,0.00,No,OPT,-18829.91
All,AMZN   AUG2025 140 C [AMZN  250815C00140000 100],AMEX,-1,USD,86.5055619,-8650.56,50.4916,-3601.40,0.00,No,OPT,-22467.50
All,AMZN   AUG2025 145 C [AMZN  250815C00145000 100],AMEX,-1,USD,81.4761048,-8147.61,47.451684,-3402.44,0.00,No,OPT,-22421.81
All,AMZN   AUG2025 150 C [AMZN  250815C00150000 100],AMEX,-1,USD,76.589592,-7658.96,44.328246,-3226.13,0.00,No,OPT,-22395.86
All,AMZN   AUG2025 205 C [AMZN  250815C00205000 100],AMEX,-1,USD,24.2281837,-2422.82,12.589368,-1163.88,0.00,No,OPT,-18665.64
All,AMZN   SEP2025 190 C [AMZN  250919C00190000 100],AMEX,-1,USD,39.3086052,-3930.86,33.312893,-599.57,0.00,No,OPT,-20243.56
All,AMZN   OCT2025 215 C [AMZN  251017C00215000 100],AMEX,-1,USD,21.5701236,-2157.01,18.062893,-350.72,0.00,No,OPT,-15348.42
All,AMZN   DEC2025 135 C [AMZN  251219C00135000 100],AMEX,-1,USD,94.4413223,-9444.13,76.910781,-1753.05,0.00,No,OPT,-22015.86
All,AMZN   DEC2025 155 C [AMZN  251219C00155000 100],AMEX,-1,USD,75.4486389,-7544.86,78.880726,343.21,0.00,No,OPT,-21425.30
