Symbol,Description,UnderlyingSymbol,Strike,Expiry,Put/Call,Quantity,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,ClientAccountID,AccountAlias,AssetClass,SubCategory,SecurityID,UnderlyingSecurityID,LevelOfDetail,OpenDateTime,ReportDate,HoldingPeriodDateTime,VestingDate,OriginatingOrderID,OriginatingTransactionID,CommodityType,Model
AMAT,APPLIED MATERIALS INC,AMAT,,,,100,256.99,25699,266.365,266.365,26636.5,3.33,-937.5,U2842030,,STK,COMMON,US0382221051,,SUMMARY,,20251231,,,,,,
AMD,ADVANCED MICRO DEVICES,AMD,,,,700,214.16,149912,73.0765115,73.0765115,51153.55805,19.41,98758.44195,U2842030,,STK,COMMON,US0079031078,,SUMMARY,,20251231,,,,,,
AMZN,AMAZON.COM INC,AMZN,,,,700,230.82,161574,114.971020343,114.971020343,80479.71424,20.92,81094.28576,U2842030,,STK,COMMON,US0231351067,,SUMMARY,,20251231,,,,,,
ARMK,ARAMARK,ARMK,,,,1100,36.86,40546,38.721409091,38.721409091,42593.55,5.25,-2047.55,U2842030,,STK,COMMON,US03852U1060,,SUMMARY,,20251231,,,,,,
CVM,CEL - SCI CORP,CVM,,,,13,5.26,68.38,185.237351692,185.237351692,2408.085572,0.01,-2339.705571,U2842030,,STK,COMMON,US1508377066,,SUMMARY,,20251231,,,,,,
CVX,CHEVRON CORP,CVX,,,,100,152.41,15241,150.59,150.59,15059,1.97,182,U2842030,,STK,COMMON,US1667641005,,SUMMARY,,20251231,,,,,,
F,FORD MOTOR CO,F,,,,100,13.12,1312,12.07,12.07,1207,0.17,105,U2842030,,STK,COMMON,US3453708600,,SUMMARY,,20251231,,,,,,
GEV,GE VERNOVA INC,GEV,,,,100,653.57,65357,492.340035,492.340035,49234.0035,8.46,16122.9965,U2842030,,STK,COMMON,US36828A1016,,SUMMARY,,20251231,,,,,,
GOOG,ALPHABET INC-CL C,GOOG,,,,200,313.8,62760,238.362523,238.362523,47672.5046,8.12,15087.4954,U2842030,,STK,COMMON,US02079K1079,,SUMMARY,,20251231,,,,,,
IBRX,IMMUNITYBIO INC,IBRX,,,,100,1.98,198,2.580022,2.580022,258.0022,0.03,-60.0022,U2842030,,STK,COMMON,US45256X1037,,SUMMARY,,20251231,,,,,,
IONQ,IONQ INC,IONQ,,,,200,44.87,8974,22.3295905,22.3295905,4465.9181,1.16,4508.0819,U2842030,,STK,COMMON,US46222L1089,,SUMMARY,,20251231,,,,,,
KO,COCA-COLA CO/THE,KO,,,,200,69.91,13982,66.702523,66.702523,13340.5046,1.81,641.4954,U2842030,,STK,COMMON,US1912161007,,SUMMARY,,20251231,,,,,,
LAC,LITHIUM AMERICAS CORP,LAC,,,,400,4.36,1744,5.386522,5.386522,2154.6088,0.23,-410.6088,U2842030,,STK,COMMON,CA53681J1030,,SUMMARY,,20251231,,,,,,
MRVL,MARVELL TECHNOLOGY INC,MRVL,,,,500,84.98,42490,77.57746326,77.57746326,38788.73163,5.5,3701.26837,U2842030,,STK,COMMON,US5738741041,,SUMMARY,,20251231,,,,,,
MSFT,MICROSOFT CORP,MSFT,,,,100,483.62,48362,482.910141,482.910141,48291.0141,6.26,70.9859,U2842030,,STK,COMMON,US5949181045,,SUMMARY,,20251231,,,,,,
NRDE,NU RIDE INC,NRDE,,,,40,1.45,58,94.465,94.465,3778.6,0.01,-3720.599998,U2842030,,STK,COMMON,US54405Q2093,,SUMMARY,,20251231,,,,,,
ORCL,ORACLE CORP,ORCL,,,,300,194.91,58473,152.72256009,152.72256009,45816.768027,7.57,12656.231973,U2842030,,STK,COMMON,US68389X1054,,SUMMARY,,20251231,,,,,,
RXT,RACKSPACE TECHNOLOGY INC,RXT,,,,500,0.9709,485.45,11.04009738,11.04009738,5520.04869,0.06,-5034.59869,U2842030,,STK,COMMON,US7501021056,,SUMMARY,,20251231,,,,,,
SPWR,SUNPOWER INC,SPWR,,,,200,1.57,314,1.800022,1.800022,360.0044,0.04,-46.0044,U2842030,,STK,COMMON,US20460L1044,,SUMMARY,,20251231,,,,,,
TEM,TEMPUS AI INC,TEM,,,,100,59.05,5905,52.740035,52.740035,5274.0035,0.76,630.9965,U2842030,,STK,COMMON,US88023B1035,,SUMMARY,,20251231,,,,,,
TSLA,TESLA INC,TSLA,,,,100,449.72,44972,438.8,438.8,43880,5.82,1092,U2842030,,STK,COMMON,US88160R1014,,SUMMARY,,20251231,,,,,,
XOM,EXXON MOBIL CORP,XOM,,,,200,120.34,24068,88.062065755,88.062065755,17612.413151,3.12,6455.586849,U2842030,,STK,COMMON,US30231G1022,,SUMMARY,,20251231,,,,,,
AMAT  260116C00270000,AMAT 16JAN26 270 C,AMAT,270,20260116,C,-1,2.7139,-271.39,13.9898311,13.9898311,-1398.98311,0.27,1127.59311,U2842030,,OPT,C,,US0382221051,SUMMARY,,20251231,,,,,,
AMD   260102C00210000,AMD 02JAN26 210 C,AMD,210,20260102,C,-1,4.7613,-476.13,10.4833311,10.4833311,-1048.33311,0.48,572.20311,U2842030,,OPT,C,,US0079031078,SUMMARY,,20251231,,,,,,
AMD   260102C00217500,AMD 02JAN26 217.5 C,AMD,217.5,20260102,C,-1,0.78,-78,3.2498311,3.2498311,-324.98311,0.08,246.98311,U2842030,,OPT,C,,US0079031078,SUMMARY,,20251231,,,,,,
AMD   260116C00100000,AMD 16JAN26 100 C,AMD,100,20260116,C,-1,114.4163,-11441.63,26.5093676,26.5093676,-2650.93676,11.57,-8790.69324,U2842030,,OPT,C,,US0079031078,SUMMARY,,20251231,,,,,,
AMD   260116C00155000,AMD 16JAN26 155 C,AMD,155,20260116,C,-1,59.5907,-5959.07,23.3529356,23.3529356,-2335.29356,6.03,-3623.77644,U2842030,,OPT,C,,US0079031078,SUMMARY,,20251231,,,,,,
AMD   260116C00175000,AMD 16JAN26 175 C,AMD,175,20260116,C,-1,39.8628,-3986.28,15.9329356,15.9329356,-1593.29356,4.03,-2392.98644,U2842030,,OPT,C,,US0079031078,SUMMARY,,20251231,,,,,,
AMD   260116C00195000,AMD 16JAN26 195 C,AMD,195,20260116,C,-1,21.3312,-2133.12,17.8929356,17.8929356,-1789.29356,2.16,-343.82644,U2842030,,OPT,C,,US0079031078,SUMMARY,,20251231,,,,,,
AMD   260918C00150000,AMD 18SEP26 150 C,AMD,150,20260918,C,-1,78.3274,-7832.74,36.4429656,36.4429656,-3644.29656,7.92,-4188.44344,U2842030,,OPT,C,,US0079031078,SUMMARY,,20251231,,,,,,
AMZN  260102P00230000,AMZN 02JAN26 230 P,AMZN,230,20260102,P,-1,0.82,-82,1.2033311,1.2033311,-120.33311,0.08,38.33311,U2842030,,OPT,P,,US0231351067,SUMMARY,,20251231,,,,,,
AMZN  260116C00135000,AMZN 16JAN26 135 C,AMZN,135,20260116,C,-1,96.1303,-9613.03,96.13035991,96.13035991,-9613.035991,9.72,0.005991,U2842030,,OPT,C,,US0231351067,SUMMARY,,20251231,,,,,,
AMZN  260123C00235000,AMZN 23JAN26 235 C,AMZN,235,20260123,C,-3,3.95,-1185,5.393314433,5.393314433,-1617.99433,1.2,432.99433,U2842030,,OPT,C,,US0231351067,SUMMARY,,20251231,,,,,,
AMZN  260618C00180000,AMZN 18JUN26 180 C,AMZN,180,20260618,C,-1,58.5097,-5850.97,55.2928926,55.2928926,-5529.28926,5.92,-321.68074,U2842030,,OPT,C,,US0231351067,SUMMARY,,20251231,,,,,,
ARMK  260116C00039000,ARMK 16JAN26 39 C,ARMK,39,20260116,C,-1,0.125,-12.5,0.6903311,0.6903311,-69.03311,0.01,56.53311,U2842030,,OPT,C,,US03852U1060,SUMMARY,,20251231,,,,,,
ARMK  260116C00040000,ARMK 16JAN26 40 C,ARMK,40,20260116,C,-1,0.0557,-5.57,0.3103311,0.3103311,-31.03311,0.01,25.46311,U2842030,,OPT,C,,US03852U1060,SUMMARY,,20251231,,,,,,
CVX   260102C00152500,CVX 02JAN26 152.5 C,CVX,152.5,20260102,C,-1,0.565,-56.5,0.5598311,0.5598311,-55.98311,0.06,-0.51689,U2842030,,OPT,C,,US1667641005,SUMMARY,,20251231,,,,,,
F     260320C00011850,F 20MAR26 11.85 C,F,11.85,20260320,C,-1,1.5335,-153.35,0.8929656,0.8929656,-89.29656,0.16,-64.05344,U2842030,,OPT,C,,US3453708600,SUMMARY,,20251231,,,,,,
GEV   260109P00660000,GEV 09JAN26 660 P,GEV,660,20260109,P,-1,18.967,-1896.7,17.0803311,17.0803311,-1708.03311,1.92,-188.66689,U2842030,,OPT,P,,US36828A1016,SUMMARY,,20251231,,,,,,
GEV   260116C00420000,GEV 16JAN26 420 C,GEV,420,20260116,C,-1,235.1674,-23516.74,79.3768926,79.3768926,-7937.68926,23.79,-15579.05074,U2842030,,OPT,C,,US36828A1016,SUMMARY,,20251231,,,,,,
GOOG  260123C00320000,GOOG 23JAN26 320 C,GOOG,320,20260123,C,-1,5.25,-525,6.6133311,6.6133311,-661.33311,0.53,136.33311,U2842030,,OPT,C,,US02079K1079,SUMMARY,,20251231,,,,,,
GOOG  260918C00210000,GOOG 18SEP26 210 C,GOOG,210,20260918,C,-1,114.0028,-11400.28,27.6229576,27.6229576,-2762.29576,11.53,-8637.98424,U2842030,,OPT,C,,US02079K1079,SUMMARY,,20251231,,,,,,
GOOGL 260102P00312500,GOOGL 02JAN26 312.5 P,GOOGL,312.5,20260102,P,-1,1.49,-149,2.4898311,2.4898311,-248.98311,0.15,99.98311,U2842030,,OPT,P,,US02079K3059,SUMMARY,,20251231,,,,,,
IONQ  260116C00065000,IONQ 16JAN26 65 C,IONQ,65,20260116,C,-1,0.1607,-16.07,9.6729656,9.6729656,-967.29656,0.02,951.22656,U2842030,,OPT,C,,US46222L1089,SUMMARY,,20251231,,,,,,
KO    260102P00070000,KO 02JAN26 70 P,KO,70,20260102,P,-1,0.2789,-27.89,0.6833311,0.6833311,-68.33311,0.03,40.44311,U2842030,,OPT,P,,US1912161007,SUMMARY,,20251231,,,,,,
KO    261218C00062500,KO 18DEC26 62.5 C,KO,62.5,20261218,C,-1,10.0355,-1003.55,6.71183278,6.71183278,-671.183278,1.02,-332.366722,U2842030,,OPT,C,,US1912161007,SUMMARY,,20251231,,,,,,
MSFT  260102C00487500,MSFT 02JAN26 487.5 C,MSFT,487.5,20260102,C,-1,0.65,-65,3.8698061,3.8698061,-386.98061,0.07,321.98061,U2842030,,OPT,C,,US5949181045,SUMMARY,,20251231,,,,,,
ORCL  260102P00195000,ORCL 02JAN26 195 P,ORCL,195,20260102,P,-1,1.7661,-176.61,9.6823311,9.6823311,-968.23311,0.18,791.62311,U2842030,,OPT,P,,US68389X1054,SUMMARY,,20251231,,,,,,
ORCL  260116P00185000,ORCL 16JAN26 185 P,ORCL,185,20260116,P,-1,2.9,-290,11.8498061,11.8498061,-1184.98061,0.29,894.98061,U2842030,,OPT,P,,US68389X1054,SUMMARY,,20251231,,,,,,
ORCL  260116P00195000,ORCL 16JAN26 195 P,ORCL,195,20260116,P,-1,6.8154,-681.54,12.2123311,12.2123311,-1221.23311,0.69,539.69311,U2842030,,OPT,P,,US68389X1054,SUMMARY,,20251231,,,,,,
ORCL  261218C00110000,ORCL 18DEC26 110 C,ORCL,110,20261218,C,-1,93.3435,-9334.35,56.50141862,56.50141862,-5650.141862,9.44,-3684.208138,U2842030,,OPT,C,,US68389X1054,SUMMARY,,20251231,,,,,,
