"ClientAccountID","Symbol","Description","UnderlyingSecurityID","Strike","ReportDate","Expiry","Buy/Sell","DateTime","Put/Call","TradeDate","SettleDateTarget","TransactionType","Quantity","TradePrice","TradeMoney","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","OrderTime","OpenDateTime","LevelOfDetail","TradeID","MtmPnl","TransactionID","IBExecID","RelatedTransactionID","OrderReference"
"U2842030","AMD","ADVANCED MICRO DEVICES","","","20210319","","SELL","20210319;162000","","20210319","20210323","BookTrade","-100","47","-4700","4699.96413","79.06","C","A","-2803","3517.832484","","","EXECUTION","3632549157","-3206","15831382106","","",""
"U2842030","AMD","ADVANCED MICRO DEVICES","","","20210917","","SELL","20210917;162000","","20210917","20210921","BookTrade","-100","60","-6000","5999.9575","103.88","C","A","-2802.1","5323.295693","","","EXECUTION","4087164478","-4388","17761138015","","",""
"U2842030","CVM","CEL-SCI CORP","","","20210105","","BUY","20210105;120737","","20210105","20210107","ExchTrade","19","12.14","230.66","-231.66","12.52","O","P","231.66","0","20210105;120214","","EXECUTION","3348374020","7.22","14796495338","000103bf.5ff482a8.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20210105","","BUY","20210105;120737","","20210105","20210107","ExchTrade","81","12.14","983.34","-983.34","12.52","O","P","983.34","0","20210105;120214","","EXECUTION","3348374129","30.78","14796495351","000103bf.5ff482a9.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20210312","","SELL","20210312;103500","","20210312","20210316","ExchTrade","-100","19.68","-1968","1966.9780632","20.45","C","","-1259","707.978063","20210312;103500","","EXECUTION","3607100613","-77","15734100716","0000dc24.604b77d7.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20210312","","SELL","20210312;103639","","20210312","20210316","ExchTrade","-100","19.6827","-1968.27","1967.248061823","20.45","C","","-1255","712.248062","20210312;103639","","EXECUTION","3607133325","-76.73","15734128926","0000e494.604bb42e.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20210312","","SELL","20210312;113010","","20210312","20210316","ExchTrade","-81","19.72","-1597.32","1596.302214668","20.45","C","P","-1015.335","580.967215","20210312;103940","","EXECUTION","3607699520","-59.13","15735899697","0000f62c.604c801d.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20210312","","SELL","20210312;122928","","20210312","20210316","ExchTrade","-19","19.72","-374.68","374.675828132","20.45","C","P","-238.165","136.510828","20210312;103940","","EXECUTION","3608150045","-13.87","15737401380","0000f62c.604c9a51.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20210312","","SELL","20210312;123521","","20210312","20210316","ExchTrade","-100","19.78","-1978","1976.9780122","20.45","C","","-1253.5","723.478012","20210312;103822","","EXECUTION","3608192688","-67","15737529102","0000f62c.604c9d13.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20210317","","SELL","20210317;121231","","20210317","20210319","ExchTrade","-100","18.56","-1856","1854.9786344","19.35","C","","-1227","627.978634","20210317;120806","","EXECUTION","3621695091","-79","15789180325","0000f62c.6053289a.01.01","",""
