"ClientAccountID","Symbol","Description","UnderlyingSecurityID","Strike","ReportDate","Expiry","Buy/Sell","DateTime","Put/Call","TradeDate","SettleDateTarget","TransactionType","Quantity","TradePrice","TradeMoney","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","OrderTime","OpenDateTime","LevelOfDetail","TradeID","MtmPnl","TransactionID","IBExecID","RelatedTransactionID","OrderReference"
"U2842030","AMZN","AMAZON.COM INC","","","20230112","","BUY","20230112;092928","","20230112","20230117","ExchTrade","100","96.84","9684","-9685","95.27","O","","9685","0","20230112;092918","","EXECUTION","5213891864","-157","22719876422","0000febb.63bfe34a.01.01","",""
"U2842030","AMZN","AMAZON.COM INC","","","20230303","","BUY","20230303;114657","","20230303","20230307","ExchTrade","100","94.1","9410","-9411","94.9","O","","9411","0","20230303;114657","","EXECUTION","5325881073","80","23204206528","00016247.64020571.01.01","",""
"U2842030","AMZN","AMAZON.COM INC","","","20230303","","BUY","20230303;114958","","20230303","20230307","ExchTrade","100","93.97","9397","-9398","94.9","O","","9398","0","20230303;114958","","EXECUTION","5325893732","93","23204291299","0000d6a5.64022f17.01.01","",""
"U2842030","AMZN","AMAZON.COM INC","","","20230314","","BUY","20230314;115213","","20230314","20230316","ExchTrade","93","94.77","8813.61","-8814.61","94.88","O","P","8814.61","0","20230314;115211","","EXECUTION","5349603979","10.23","23304781627","0000febb.64106193.01.01","",""
"U2842030","AMZN","AMAZON.COM INC","","","20230314","","BUY","20230314;115213","","20230314","20230316","ExchTrade","7","94.77","663.39","-663.39","94.88","O","P","663.39","0","20230314;115211","","EXECUTION","5349603982","0.77","23304781628","0000febb.64106192.01.01","",""
"U2842030","AMZN","AMAZON.COM INC","","","20230530","","BUY","20230530;135531","","20230530","20230601","ExchTrade","100","121.1","12110","-12111","121.66","O","","12111","0","20230530;135523","","EXECUTION","5507709444","56","24016365743","0000febb.647618fb.01.01","",""
"U2842030","ESTC","ELASTIC NV","","","20230314","","BUY","20230314;115411","","20230314","20230316","ExchTrade","100","55.67","5567","-5568","55.12","O","","5568","0","20230314;115351","","EXECUTION","5349610857","-55","23304804230","00010129.64109a51.01.01","",""
"U2842030","F","FORD MOTOR CO","","","20230721","","SELL","20230721;162000","","20230721","20230725","BookTrade","-100","12","-1200","1199.9759","13.93","C","A","-916.0938","474.079082","","","EXECUTION","5619062593","-193","24523398880","","",""
"U2842030","F","FORD MOTOR CO","","","20230811","","BUY","20230811;095959","","20230811","20230815","ExchTrade","100","12.06","1206","-1207","12.14","O","","1207","0","20230811;095840","","EXECUTION","5665478586","8","24725303677","00012e0e.64d611fa.01.01","",""
"U2842030","F","FORD MOTOR CO","","","20240101","","SELL","20231229;162000","","20231229","20240103","BookTrade","-100","12","-1200","1199.9738","12.19","C","A","-844","382.731886","","","EXECUTION","5951254242","-19","26059991989","","",""
"U2842030","WKHS","WORKHORSE GROUP INC","","","20230124","","SELL","20230124;100321","","20230124","20230126","ExchTrade","-100","2.1527","-215.27","214.250570317","2.16","C","","-723.8","-509.54943","20230124;100321","","EXECUTION","5237387150","-0.73","22820864938","0000e494.63cff392.01.01","",""
"U2842030","WKHS","WORKHORSE GROUP INC","","","20230202","","SELL","20230202;094048","","20230202","20230206","ExchTrade","-100","2.51","-251","249.9797521","2.49","C","","-593.603896","-343.624144","20230124;100343","","EXECUTION","5260012058","2","22918309445","00022b5c.63db84e8.01.01","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20230213","","SELL","20230210;162000","","20230210","20230214","BookTrade","-100","95","-9500","9499.76795","117.8","C","A","-6452.657144","4141.3844","","","EXECUTION","5284554484","-2280","23021317869","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20230213","","SELL","20230210;162000","","20230210","20230214","BookTrade","-100","90","-9000","8999.7794","117.8","C","A","-6583.669957","3588.381251","","","EXECUTION","5284558564","-2780","23021321994","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20231020","","SELL","20231020;162000","","20231020","20231024","BookTrade","-100","110","-11000","10999.8975","111.08","C","A","-6583.669957","4973.520589","","","EXECUTION","5806297546","-108","25381878305","","",""
"U2842030","XOM","EXXON MOBIL CORP","","","20231020","","BUY","20231020;162000","","20231020","20231024","BookTrade","100","105","10500","-10500","111.08","O","Ex","10500","0","","","EXECUTION","5806325907","608","25381908904","","",""
"U2842030","AMD   230120C00065000","AMD 20JAN23 65 C","US0079031078","65","20230119","20230120","BUY","20230119;115440","C","20230119","20230120","ExchTrade","1","2.48","248","-248.68815","2.7926","C","","904.347946","655.659796","20230119;115440","","EXECUTION","5228620803","31.26","22783017539","00021ab9.63c95013.03.01","",""
"U2842030","AMD   230120C00067500","AMD 20JAN23 67.5 C","US0079031078","67.5","20230119","20230120","BUY","20230119;155504","C","20230119","20230120","ExchTrade","1","0.96","96","-96.68815","0.8476","C","","779.350808","682.662658","20230119;115548","","EXECUTION","5229615736","-11.24","22786294991","00021ab9.63c95f08.03.01","",""
"U2842030","AMD   230120C00090000","AMD 20JAN23 90 C","US0079031078","90","20230120","20230120","BUY","20230120;162000","C","20230120","20230123","BookTrade","1","0","0","0","0","C","Ep","907.177877","907.177877","","","EXECUTION","5233198654","0","22803301695","","",""
"U2842030","AMD   230120C00095000","AMD 20JAN23 95 C","US0079031078","95","20230120","20230120","BUY","20230120;162000","C","20230120","20230123","BookTrade","1","0","0","0","0","C","Ep","4707.282459","4707.282459","","","EXECUTION","5233173531","0","22803219071","","",""
"U2842030","AMD   230120C00100000","AMD 20JAN23 100 C","US0079031078","100","20230120","20230120","BUY","20230120;162000","C","20230120","20230123","BookTrade","1","0","0","0","0","C","Ep","4399.28403","4399.28403","","","EXECUTION","5233265804","0","22803489820","","",""
"U2842030","AMD   230217C00070000","AMD 17FEB23 70 C","US0079031078","70","20230119","20230217","SELL","20230119;155504","C","20230119","20230120","ExchTrade","-1","3.23","-323","322.3020133","3.15","O","","-322.3020133","0","20230119;115548","","EXECUTION","5229622862","8","22786308496","00021ab9.63c95f08.02.01","",""
"U2842030","AMD   230217C00070000","AMD 17FEB23 70 C","US0079031078","70","20230217","20230217","BUY","20230217;093003","C","20230217","20230221","ExchTrade","1","9.15","915","-916.04905","8.5","C","","322.302013","-593.747037","20230217;093003","","EXECUTION","5297277259","-65","23076904136","0001eb2e.63ef7529.02.01","",""
"U2842030","AMD   230317C00070000","AMD 17MAR23 70 C","US0079031078","70","20230119","20230317","SELL","20230119;115440","C","20230119","20230120","ExchTrade","-1","4.25","-425","424.2996775","4.425","O","","-424.2996775","0","20230119;115440","","EXECUTION","5228620015","-17.5","22783017536","00021ab9.63c95013.02.01","",""
"U2842030","AMD   230317C00070000","AMD 17MAR23 70 C","US0079031078","70","20230310","20230317","BUY","20230310;133241","C","20230310","20230313","ExchTrade","1","12.56","1256","-1256.69905","12.8975","C","","424.299677","-832.399373","20230310;073506","","EXECUTION","5342139496","33.75","23273829452","00021ab9.640b4c10.02.01","",""
"U2842030","AMD   230616C00075000","AMD 16JUN23 75 C","US0079031078","75","20230217","20230616","SELL","20230217;093003","C","20230217","20230221","ExchTrade","-1","11.15","-1115","1113.9229765","10.8338","O","","-1113.9229765","0","20230217;093003","","EXECUTION","5297254671","31.62","23076906428","0001eb2e.63ef7529.03.01","",""
"U2842030","AMD   230616C00075000","AMD 16JUN23 75 C","US0079031078","75","20230310","20230616","SELL","20230310;133241","C","20230310","20230313","ExchTrade","-1","13.46","-1346","1345.287742","13.601","O","","-1345.287742","0","20230310;073506","","EXECUTION","5342130842","-14.1","23273816813","00021ab9.640b4c10.03.01","",""
"U2842030","AMD   230616C00075000","AMD 16JUN23 75 C","US0079031078","75","20230614","20230616","BUY","20230614;122434","C","20230614","20230615","ExchTrade","1","51.99","5199","-5199.69905","52.3676","C","","1113.922977","-4085.776073","20230614;122434","","EXECUTION","5542129930","37.76","24170315183","00021ab9.6489b422.02.01","",""
"U2842030","AMD   230616C00075000","AMD 16JUN23 75 C","US0079031078","75","20230614","20230616","BUY","20230614;122753","C","20230614","20230615","ExchTrade","1","51.85","5185","-5186.04905","52.3676","C","","1345.287742","-3840.761308","20230614;122753","","EXECUTION","5542143224","51.76","24170354152","00021ab9.6489b449.02.01","",""
"U2842030","AMD   230721C00070000","AMD 21JUL23 70 C","US0079031078","70","20230615","20230721","BUY","20230615;101757","C","20230615","20230616","ExchTrade","1","53.34","5334","-5334.69905","54.6338","C","","1302.179831","-4032.519219","20230615;073506","","EXECUTION","5544709655","129.38","24182278900","00021ab9.648b00b8.02.01","",""
"U2842030","AMD   230721C00080000","AMD 21JUL23 80 C","US0079031078","80","20230124","20230721","SELL","20230124;094838","C","20230124","20230125","ExchTrade","-1","8.16","-816","815.1907236","8.05","O","","-815.1907236","0","20230124;094331","","EXECUTION","5237178143","11","22820302552","0000f126.63cfcb0b.01.01","",""
"U2842030","AMD   230721C00080000","AMD 21JUL23 80 C","US0079031078","80","20230614","20230721","BUY","20230614;134929","C","20230614","20230615","ExchTrade","1","46.77","4677","-4677.69905","47.93","C","","815.190724","-3862.508326","20230614;134928","","EXECUTION","5542445489","116","24171259534","00021ab9.6489b7a2.02.01","",""
"U2842030","AMD   230915C00070000","AMD 15SEP23 70 C","US0079031078","70","20230908","20230915","BUY","20230908;131031","C","20230908","20230911","ExchTrade","1","36.82","3682","-3682.70025","36.1657","C","","1699.27074","-1983.42951","20230908;114547","","EXECUTION","5720972426","-65.43","24981786481","00021ab9.64fb1ab1.03.01","",""
"U2842030","AMD   230915C00075000","AMD 15SEP23 75 C","US0079031078","75","20230824","20230915","BUY","20230824;115222","C","20230824","20230825","ExchTrade","1","26.5","2650","-2651.05005","27.1148","C","","1468.27603","-1182.77402","20230824;113321","","EXECUTION","5692018307","61.48","24843363484","00021ab9.64e74d77.03.01","",""
"U2842030","AMD   230915C00080000","AMD 15SEP23 80 C","US0079031078","80","20230124","20230915","SELL","20230124;094133","C","20230124","20230125","ExchTrade","-1","9.43","-943","942.1878153","9.725","O","","-942.1878153","0","20230124;094133","","EXECUTION","5237084472","-29.5","22820066552","0000f126.63cfcaec.01.01","",""
"U2842030","AMD   230915C00080000","AMD 15SEP23 80 C","US0079031078","80","20230824","20230915","BUY","20230824;112621","C","20230824","20230825","ExchTrade","1","22","2200","-2200.70005","22.2107","C","","942.187815","-1258.512235","20230824;111448","","EXECUTION","5691869311","21.07","24842954724","00021ab9.64e74bef.03.01","",""
"U2842030","AMD   230915C00085000","AMD 15SEP23 85 C","US0079031078","85","20230126","20230915","SELL","20230126;093011","C","20230126","20230127","ExchTrade","-1","8.7","-870","868.939487","7.875","O","","-868.939487","0","20230124;094357","","EXECUTION","5242666337","82.5","22845205372","00021ab9.63d2729e.01.01","",""
"U2842030","AMD   230915C00085000","AMD 15SEP23 85 C","US0079031078","85","20230824","20230915","BUY","20230824;111750","C","20230824","20230825","ExchTrade","1","17.54","1754","-1754.70005","17.4162","C","","868.939487","-885.760563","20230824;111334","","EXECUTION","5691821982","-12.38","24842816330","00021ab9.64e74b54.02.01","",""
"U2842030","AMD   240119C00085000","AMD 19JAN24 85 C","US0079031078","85","20230614","20240119","SELL","20230614;122434","C","20230614","20230615","ExchTrade","-1","47.27","-4727","4726.260694","47.7466","O","","-4726.260694","0","20230614;122434","","EXECUTION","5542128757","-47.66","24170312614","00021ab9.6489b422.03.01","",""
