"ClientAccountID","Symbol","Description","UnderlyingSecurityID","Strike","ReportDate","Expiry","Buy/Sell","DateTime","Put/Call","TradeDate","SettleDateTarget","TransactionType","Quantity","TradePrice","TradeMoney","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","OrderTime","OpenDateTime","LevelOfDetail","TradeID","MtmPnl","TransactionID","IBExecID","RelatedTransactionID","OrderReference"
"U2842030","AMD","ADVANCED MICRO DEVICES","","","20200211","","BUY","20200211;095759","","20200211","20200213","ExchTrade","100","54.21","5421","-5422","53.8","O","","5422","0","20200211;095759","","EXECUTION","2691216523","-41","12025918205","0000ddc2.5e42b623.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20201229","","BUY","20201229;094310","","20201229","20201231","ExchTrade","100","12.58","1258","-1259","12.15","O","","1259","0","20201229;094256","","EXECUTION","3332165922","-43","14732095242","000103bf.5feb1c56.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20201229","","BUY","20201229;094604","","20201229","20201231","ExchTrade","100","12.54","1254","-1255","12.15","O","","1255","0","20201229;094504","","EXECUTION","3332223303","-39","14732257109","000103bf.5feb1f8d.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20201229","","BUY","20201229;095654","","20201229","20201231","ExchTrade","200","12.53","2506","-2507","12.15","O","","2507","0","20201229;095112","","EXECUTION","3332423766","-76","14732833171","000103bf.5feb28ca.01.01","",""
"U2842030","CVM","CEL-SCI CORP","","","20201229","","BUY","20201229;101145","","20201229","20201231","ExchTrade","100","12.26","1226","-1227","12.15","O","","1227","0","20201229;101145","","EXECUTION","3332683338","-11","14733536388","000103bf.5feb3458.01.01","",""
"U2842030","DBX","DROPBOX INC-CLASS A","","","20200818","","BUY","20200818;134055","","20200818","20200820","ExchTrade","100","20.2973","2029.73","-2030.73","20.48","O","","2030.73","0","20200818;134055","","EXECUTION","3043041441","18.27","13511011694","0000e494.5f3c3c62.01.01","",""
"U2842030","DBX","DROPBOX INC-CLASS A","","","20200818","","BUY","20200818;134306","","20200818","20200820","ExchTrade","100","20.29","2029","-2030","20.48","O","","2030","0","20200818;134244","","EXECUTION","3043048925","19","13511042961","0000f62c.5f3bfcad.01.01","",""
"U2842030","ESTC","ELASTIC NV","","","20200211","","BUY","20200211;095959","","20200211","20200213","ExchTrade","100","71.98","7198","-7199","71.5","O","","7199","0","20200211;095959","","EXECUTION","2691229269","-48","12025960470","00012dfa.5e4295f0.01.01","",""
"U2842030","ESTC","ELASTIC NV","","","20200417","","BUY","20200417;113214","","20200417","20200421","ExchTrade","100","59.99","5999","-6000","61.37","O","","6000","0","20200417;113211","","EXECUTION","2814143687","138","12534461323","00012dfa.5e999dff.01.01","",""
"U2842030","ESTC","ELASTIC NV","","","20200417","","BUY","20200417;113749","","20200417","20200421","ExchTrade","100","60.45","6045","-6046","61.37","O","","6046","0","20200417;113743","","EXECUTION","2814171098","92","12534529545","00012dfa.5e999e78.01.01","",""
"U2842030","F","FORD MOTOR CO","","","20200205","","BUY","20200205;093100","","20200205","20200207","ExchTrade","100","8.43","843","-844","8.31","O","","844","0","20191122;130606","","EXECUTION","2684382716","-12","11991799022","00012e0e.5e3aa568.01.01","",""
"U2842030","F","FORD MOTOR CO","","","20200211","","BUY","20200211;100908","","20200211","20200213","ExchTrade","100","8.115","811.5","-812.5","8.1","O","","812.5","0","20200211;100908","","EXECUTION","2691295625","-1.5","12026136184","0000d85a.5e42ae1a.01.01","",""
"U2842030","F","FORD MOTOR CO","","","20200211","","BUY","20200211;101725","","20200211","20200213","ExchTrade","100","8.11","811","-812","8.1","O","","812","0","20200211;101017","","EXECUTION","2691348920","-1","12026265037","00012e0e.5e429518.01.01","",""
"U2842030","F","FORD MOTOR CO","","","20200319","","BUY","20200318;162000","","20200318","20200320","BookTrade","100","9","900","-900","4.47","O","A","900","0","","","EXECUTION","2755467976","-453","12299927173","","",""
"U2842030","F","FORD MOTOR CO","","","20200320","","BUY","20200320;162000","","20200320","20200324","BookTrade","100","8","800","-800","4.33","O","A","800","0","","","EXECUTION","2761904467","-367","12324220076","","",""
"U2842030","F","FORD MOTOR CO","","","20200325","","BUY","20200325;144209","","20200325","20200327","ExchTrade","100","5.675","567.5","-568.5","5.39","O","","568.5","0","20200325;144209","","EXECUTION","2770845668","-28.5","12356494619","0000e1ae.5e7b64b4.01.01","",""
