Portfolio
Account,Financial Instrument Description,Exchange,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
U110638,AMD,NASDAQ,100,USD,146.9000091,14690.00,111.37708,3552.29,0.00,No,STK,14690.00
U110638,AMD    AUG2025 90 C [AMD   250815C00090000 100],AMEX,-1,USD,57.3802109,-5738.02,39.652893,-1772.73,0.00,No,OPT,-14563.14
U110638,AMZN,NASDAQ,1700,USD,225.8600006,383962.00,134.1025721,155987.63,0.00,No,STK,383962.00
U110638,AMZN   JUL2025 185 C [AMZN  250718C00185000 100],AMEX,0,USD,37.0981446,0.00,0.00,null,0.00,No,OPT,0.00
U110638,AMZN   AUG2025 140 C [AMZN  250815C00140000 100],AMEX,-1,USD,86.5055619,-8650.56,50.4916,-3601.40,0.00,No,OPT,-22467.50
U110638,AMZN   AUG2025 150 C [AMZN  250815C00150000 100],AMEX,-1,USD,76.589592,-7658.96,44.328246,-3226.13,0.00,No,OPT,-22395.86
U110638,AMZN   AUG2025 205 C [AMZN  250815C00205000 100],AMEX,-1,USD,24.2281837,-2422.82,12.589368,-1163.88,0.00,No,OPT,-18665.64
U110638,AMZN   SEP2025 190 C [AMZN  250919C00190000 100],AMEX,-1,USD,39.3086052,-3930.86,33.312893,-599.57,0.00,No,OPT,-20243.56
U110638,AMZN   OCT2025 215 C [AMZN  251017C00215000 100],AMEX,-1,USD,21.5701236,-2157.01,18.062893,-350.72,0.00,No,OPT,-15348.42
U110638,AMZN   DEC2025 135 C [AMZN  251219C00135000 100],AMEX,-1,USD,94.4413223,-9444.13,76.910781,-1753.05,0.00,No,OPT,-22015.86
U110638,AMZN   DEC2025 180 C [AMZN  251219C00180000 100],AMEX,-1,USD,53.0730629,-5307.31,50.521515,-255.15,0.00,No,OPT,-19854.89
U110638,AMZN   DEC2025 195 C [AMZN  251219C00195000 100],AMEX,-1,USD,40.8718643,-4087.19,37.992936,-287.89,0.00,No,OPT,-18200.45
U110638,AMZN   DEC2025 200 C [AMZN  251219C00200000 100],AMEX,-1,USD,37.0584907,-3705.85,32.462893,-459.56,0.00,No,OPT,-17524.95
U110638,AMZN   JAN2026 145 C [AMZN  260116C00145000 100],AMEX,-1,USD,85.6513214,-8565.13,91.720483,606.92,0.00,No,OPT,-21693.88
U110638,AMZN   MAR2026 170 C [AMZN  260320C00170000 100],AMEX,-1,USD,65.384407,-6538.44,61.837675,-354.67,0.00,No,OPT,-20125.60
U110638,ARMK,NYSE,700,USD,43.4860001,30440.20,38.8057586,3276.17,0.00,No,STK,30440.20
U110638,ARMK   JUL2025 38 C [ARMK  250718C00038000 100],AMEX,-1,USD,5.5246377,-552.46,2.209306,-331.53,0.00,No,OPT,-4284.09
U110638,ARMK   JUL2025 39 C [ARMK  250718C00039000 100],AMEX,-2,USD,4.5373712,-907.47,1.62311,-582.85,0.00,No,OPT,-8460.11
U110638,ARMK   JUL2025 40 C [ARMK  250718C00040000 100],AMEX,-3,USD,3.5241472,-1057.24,1.1035593,-726.18,0.00,No,OPT,-12427.93
U110638,ARMK   JUL2025 41 C [ARMK  250718C00041000 100],AMEX,-1,USD,2.5855484,-258.55,0.527393,-205.82,0.00,No,OPT,-3999.14
U110638,DOW,NYSE,200,USD,29.6040001,5920.80,28.965035,127.79,0.00,No,STK,5920.80
U110638,DOW    JUN2026 32.50 C [DOW   260618C00032500 100],AMEX,-1,USD,3.0587971,-305.88,3.639368,58.06,0.00,No,OPT,-1353.58
U110638,GOOG,NASDAQ,100,USD,181.5859985,18158.60,158.600035,2298.60,0.00,No,STK,18158.60
U110638,TEM,NASDAQ,200,USD,57.7055931,11541.12,62.4875405,-956.39,0.00,No,STK,11541.12
U110638,TEM    AUG2025 75 C [TEM   250815C00075000 100],AMEX,0,USD,1.9147969,0.00,0.00,null,0.00,No,OPT,0.00
U110638,TSLA,NASDAQ,100,USD,310.3211975,31032.12,322.920035,-1259.88,0.00,No,STK,31032.12
U110638,VSAT,NASDAQ,100,USD,14.636097,1463.61,9.220035,541.61,0.00,No,STK,1463.61
U110638,VSAT   JUL2025 12 C [VSAT  250718C00012000 100],AMEX,-1,USD,2.693891,-269.39,0.576893,-211.70,0.00,No,OPT,-1382.77
U110638,WMT,NYSE,100,USD,94.5961075,9459.61,98.910022,-431.39,0.00,No,STK,9459.61
U110638,WMT    JAN2026 95 P [WMT   260116P00095000 100],AMEX,-1,USD,6.0398007,-603.98,5.791936,-24.79,0.00,No,OPT,4272.38

Cash Balances
USD,,-66073,USD
USD,,-66073,USD

